"2","200","3","0"
"14","12","250","0"
"31","83","201","0"
"232","221","146","0"
"216","73","101","0"
"81","2","238","0"
"161","132","169","1"
"245","153","77","0"
"83","49","98","1"
"221","178","245","1"
"26","180","227","0"
"117","15","180","1"
"62","75","153","0"
"218","61","191","1"
"106","130","56","0"
"172","160","251","0"
"48","248","219","0"
"142","222","97","0"
"177","123","121","1"
"45","35","240","0"
"34","123","228","0"
"242","137","63","0"
"47","142","168","0"
"110","150","108","0"
"142","74","131","1"
"225","160","86","0"
"49","5","89","0"
"67","132","158","0"
"242","69","181","0"
"193","140","124","0"
"161","120","237","1"
"84","37","75","1"
"87","190","28","0"
"220","117","148","1"
"138","147","238","0"
"174","81","75","0"
"56","34","191","1"
"108","80","40","0"
"174","93","138","1"
"138","242","147","0"
"124","68","129","1"
"140","13","247","1"
"175","10","210","1"
"162","133","48","0"
"202","8","152","1"
"125","120","217","0"
"29","189","90","0"
"159","149","222","1"
"136","121","92","0"
"91","27","205","1"
"193","146","177","1"
"211","97","104","0"
"97","233","162","0"
"244","177","70","0"
"44","96","150","0"
"116","205","145","0"
"26","150","53","0"
